bean_origin,count,longitude,latitude
Venezuela,253,-66.58973,6.42375
Peru,244,-75.015152,-9.189967
Dominican Rep.,226,-70.162651,18.735693
Ecuador,219,-78.183406,-1.831239
Madagascar,177,46.869107,-18.766947
Nicaragua,100,-85.207229,12.865416
Bolivia,80,-63.588653,-16.290154
Tanzania,79,34.888822,-6.369028
Colombia,79,-74.297333,4.570868
Brazil,78,-51.92528,-14.235004
Belize,76,-88.49765,17.189877
Vietnam,73,108.277199,14.058324
Guatemala,62,-90.230759,15.783471
Mexico,55,-102.552784,23.634501
Papua New Guinea,50,143.95555,-6.314993
Trinidad and Tobago,44,-61.222503,10.691803
Costa Rica,43,-83.753428,9.748917
Ghana,41,-1.023194,7.946527
India,35,78.96288,20.593684
United States of America,33,-95.712891,37.09024
Haiti,30,-72.285215,18.971187
Honduras,25,-86.241905,15.199999
Central African Rep.,24,20.939444,6.611111
Jamaica,24,-77.297508,18.109581
Philippines,24,121.774017,12.879721
Indonesia,21,113.921327,-0.789275
Uganda,19,32.290275,1.373333
Fiji,16,179.414413,-16.578193
Vanuatu,13,166.959158,-15.376706
Cuba,12,-77.781167,21.521757
Congo,11,15.827659,-0.228021
Solomon Is.,10,160.156194,-9.64571
Panama,9,-80.782127,8.537981
Malaysia,8,101.975766,4.210484
Puerto Rico,7,-66.590149,18.220833
El Salvador,6,-88.89653,13.794185
Thailand,5,100.992541,15.870032
Sierra Leone,4,-11.779889,8.460555
Togo,3,0.824782,8.619543
Australia,3,133.775136,-25.274398
Liberia,3,-9.429499,6.428055
Nigeria,3,8.675277,9.081999
Cameroon,3,12.354722,7.369722
Sri Lanka,2,80.771797,7.873054
Taiwan,2,120.960515,23.69781
Myanmar,1,95.956223,21.913965
Gabon,1,11.609444,-0.803689
China,1,104.195397,35.86166
Suriname,1,-56.027783,3.919305
Dem. Rep. Congo,1,21.758664,-4.038333
